year,drug,intent,nature,sex,jurisdiction,age_group,n,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
1997,Amphetamines,Accidental,Underlying,All,AUS,15-24,3,2619372,0.11453126932715169,0.02361906662662784,0.33470910540685866,1.1453126932715167,0.2361906662662784,3.3470910540685868
1998,Amphetamines,Accidental,Underlying,All,AUS,15-24,1,2592341,0.03857517201633581,9.75549389342669e-4,0.21492709823021208,0.3857517201633581,0.00975549389342669,2.149270982302121
1999,Amphetamines,Accidental,Underlying,All,AUS,15-24,3,2583566,0.11611857409487507,0.023946406551225485,0.33934788538313876,1.1611857409487507,0.23946406551225485,3.393478853831388
2e3,Amphetamines,Accidental,Underlying,All,AUS,15-24,5,2595640,0.19263071920605324,0.06254664218066786,0.44953545060572375,1.9263071920605324,0.6254664218066786,4.495354506057238
2001,Amphetamines,Accidental,Underlying,All,AUS,15-24,2,2630115,0.07604230233278773,0.009208861179809165,0.2746911446708403,0.7604230233278774,0.09208861179809165,2.7469114467084035
2002,Amphetamines,Accidental,Underlying,All,AUS,15-24,4,2667594,0.14994785563320356,0.040856635320933185,0.3839260678657031,1.4994785563320356,0.4085663532093319,3.839260678657031
2003,Amphetamines,Accidental,Underlying,All,AUS,15-24,6,2710380,0.22137117304584597,0.0812392026525133,0.4818320127149537,2.21371173045846,0.812392026525133,4.818320127149537
2004,Amphetamines,Accidental,Underlying,All,AUS,15-24,6,2748615,0.21829175784895302,0.08010911316620153,0.4751294199523601,2.1829175784895303,0.8010911316620153,4.751294199523601
2005,Amphetamines,Accidental,Underlying,All,AUS,15-24,1,2794180,0.035788675031672976,9.050800877244715e-4,0.19940173100988706,0.3578867503167298,0.009050800877244716,1.9940173100988705
2006,Amphetamines,Accidental,Underlying,All,AUS,15-24,3,2841117,0.10559227233514143,0.021775633241405905,0.3085855523893505,1.0559227233514143,0.21775633241405906,3.085855523893505
2007,Amphetamines,Accidental,Underlying,All,AUS,15-24,9,2903862,0.30993208354942486,0.14172095428877987,0.5883476752304168,3.0993208354942485,1.4172095428877987,5.883476752304167
2008,Amphetamines,Accidental,Underlying,All,AUS,15-24,5,2973974,0.16812520889557206,0.054589773249473166,0.39234781373685207,1.6812520889557205,0.5458977324947316,3.923478137368521
2009,Amphetamines,Accidental,Underlying,All,AUS,15-24,2,3043814,0.06570703728940074,0.007957241776906796,0.23735658616654867,0.6570703728940074,0.07957241776906795,2.3735658616654867
2010,Amphetamines,Accidental,Underlying,All,AUS,15-24,1,3065102,0.03262534166889063,8.250807573509672e-4,0.18177676591291456,0.32625341668890634,0.008250807573509671,1.8177676591291456
2011,Amphetamines,Accidental,Underlying,All,AUS,15-24,3,3065122,0.09787538636308765,0.02018422816055068,0.28603352781643737,0.9787538636308766,0.2018422816055068,2.860335278164374
2012,Amphetamines,Accidental,Underlying,All,AUS,15-24,2,3092512,0.06467234403617513,0.007831938541203327,0.23361891561486173,0.6467234403617512,0.07831938541203327,2.336189156148617
2013,Amphetamines,Accidental,Underlying,All,AUS,15-24,7,3118366,0.22447653675033655,0.09025103318286817,0.4625074635441936,2.2447653675033656,0.9025103318286818,4.625074635441936
2014,Amphetamines,Accidental,Underlying,All,AUS,15-24,5,3141184,0.1591756484179214,0.05168387662417378,0.3714625431080258,1.591756484179214,0.5168387662417377,3.714625431080258
2015,Amphetamines,Accidental,Underlying,All,AUS,15-24,8,3154845,0.2535782265055811,0.1094770558146613,0.4996501920447242,2.535782265055811,1.094770558146613,4.996501920447242
2016,Amphetamines,Accidental,Underlying,All,AUS,15-24,7,3172488,0.22064701269161616,0.08871136891371312,0.45461718028955594,2.2064701269161615,0.8871136891371312,4.546171802895559
1997,Amphetamines,Accidental,Any mention,All,AUS,15-24,6,2619372,0.22906253865430337,0.08406179423362509,0.49857288335614647,2.2906253865430335,0.8406179423362509,4.985728833561465
1998,Amphetamines,Accidental,Any mention,All,AUS,15-24,16,2592341,0.617202752261373,0.3527845416810624,1.0022986114009431,6.17202752261373,3.527845416810624,10.02298611400943
1999,Amphetamines,Accidental,Any mention,All,AUS,15-24,19,2583566,0.7354176359342088,0.4427705405203073,1.148445780693856,7.354176359342088,4.427705405203072,11.48445780693856
2e3,Amphetamines,Accidental,Any mention,All,AUS,15-24,24,2595640,0.9246274521890555,0.5924264451998996,1.375772361397375,9.246274521890555,5.924264451998996,13.757723613973749
2001,Amphetamines,Accidental,Any mention,All,AUS,15-24,11,2630115,0.4182326628303325,0.2087799382941289,0.7483326985053939,4.182326628303325,2.087799382941289,7.483326985053939
2002,Amphetamines,Accidental,Any mention,All,AUS,15-24,10,2667594,0.3748696390830089,0.17976455889468074,0.6893987023033316,3.748696390830089,1.7976455889468075,6.893987023033316
2003,Amphetamines,Accidental,Any mention,All,AUS,15-24,10,2710380,0.36895195507640993,0.17692679945989012,0.6785158693143225,3.6895195507640994,1.7692679945989012,6.7851586931432255
2004,Amphetamines,Accidental,Any mention,All,AUS,15-24,15,2748615,0.5457293946223826,0.3054405750572152,0.9000976723276692,5.4572939462238255,3.054405750572152,9.000976723276693
2005,Amphetamines,Accidental,Any mention,All,AUS,15-24,10,2794180,0.3578867503167298,0.1716206037979289,0.6581665611636163,3.578867503167298,1.716206037979289,6.581665611636163
2006,Amphetamines,Accidental,Any mention,All,AUS,15-24,16,2841117,0.563158785787421,0.3218937592383654,0.9145345948715707,5.63158785787421,3.2189375923836536,9.145345948715708
2007,Amphetamines,Accidental,Any mention,All,AUS,15-24,17,2903862,0.5854272689266914,0.34103291051425755,0.9373257703118476,5.854272689266914,3.4103291051425755,9.373257703118476
