year,drug,nature,intent,age_group,n,sex,jurisdiction,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
1997,All opioids with benzodiazepines,NA,Accidental,15-24,35,All,AUS,2619372,1.3361981421501032,0.93071101410162,1.8583283333994323,13.361981421501032,9.307110141016201,18.583283333994324
1998,All opioids with benzodiazepines,NA,Accidental,15-24,39,All,AUS,2592341,1.5044317086370969,1.0697971073271317,2.056606809146563,15.044317086370969,10.697971073271317,20.56606809146563
1999,All opioids with benzodiazepines,NA,Accidental,15-24,68,All,AUS,2583566,2.632021012817168,2.0438665416635633,3.3367137947523244,26.32021012817168,20.438665416635633,33.36713794752325
2e3,All opioids with benzodiazepines,NA,Accidental,15-24,52,All,AUS,2595640,2.0033594797429535,1.4962046726320166,2.6271390293057233,20.033594797429537,14.962046726320166,26.271390293057234
2001,All opioids with benzodiazepines,NA,Accidental,15-24,21,All,AUS,2630115,0.7984441744942712,0.49425049643580776,1.220506712298832,7.984441744942712,4.942504964358077,12.20506712298832
2002,All opioids with benzodiazepines,NA,Accidental,15-24,19,All,AUS,2667594,0.7122523142577168,0.4288234694971904,1.1122702599586378,7.122523142577169,4.288234694971904,11.122702599586379
2003,All opioids with benzodiazepines,NA,Accidental,15-24,18,All,AUS,2710380,0.6641135191375379,0.3935949411900427,1.0495862225996913,6.641135191375379,3.9359494119004266,10.495862225996913
2004,All opioids with benzodiazepines,NA,Accidental,15-24,13,All,AUS,2748615,0.47296547533939826,0.2518341662076472,0.8087847897998355,4.729654753393983,2.5183416620764723,8.087847897998355
2005,All opioids with benzodiazepines,NA,Accidental,15-24,13,All,AUS,2794180,0.46525277541174875,0.24772747881340224,0.7955958474456459,4.652527754117488,2.4772747881340225,7.955958474456459
2006,All opioids with benzodiazepines,NA,Accidental,15-24,14,All,AUS,2841117,0.4927639375639933,0.26939875394276425,0.8267739840857825,4.927639375639933,2.6939875394276425,8.267739840857825
2007,All opioids with benzodiazepines,NA,Accidental,15-24,15,All,AUS,2903862,0.5165534725823747,0.28911103427466167,0.8519764243703442,5.165534725823747,2.8911103427466167,8.519764243703442
2008,All opioids with benzodiazepines,NA,Accidental,15-24,14,All,AUS,2973974,0.47075058490760174,0.25736384366696025,0.7898393265522314,4.707505849076018,2.5736384366696026,7.898393265522314
2009,All opioids with benzodiazepines,NA,Accidental,15-24,13,All,AUS,3043814,0.4270957423811047,0.22741046816619948,0.7303462054565997,4.270957423811047,2.2741046816619948,7.303462054565997
2010,All opioids with benzodiazepines,NA,Accidental,15-24,27,All,AUS,3065102,0.880884225060047,0.5805082496641212,1.2816409729984064,8.80884225060047,5.805082496641212,12.816409729984064
2011,All opioids with benzodiazepines,NA,Accidental,15-24,20,All,AUS,3065122,0.6525025757539178,0.3985662820659277,1.00773730700106,6.5250257575391775,3.985662820659277,10.0773730700106
2012,All opioids with benzodiazepines,NA,Accidental,15-24,14,All,AUS,3092512,0.4527064082532259,0.24749891984432218,0.7595642705166047,4.527064082532259,2.4749891984432217,7.595642705166047
2013,All opioids with benzodiazepines,NA,Accidental,15-24,17,All,AUS,3118366,0.5451573035365316,0.3175741749338445,0.8728496546041428,5.451573035365316,3.175741749338445,8.728496546041427
2014,All opioids with benzodiazepines,NA,Accidental,15-24,16,All,AUS,3141184,0.5093620749373484,0.29114430468448427,0.827172105988612,5.093620749373484,2.911443046844843,8.27172105988612
2015,All opioids with benzodiazepines,NA,Accidental,15-24,14,All,AUS,3154845,0.4437618963847669,0.24260886972437776,0.7445569025875585,4.437618963847669,2.4260886972437774,7.445569025875585
2016,All opioids with benzodiazepines,NA,Accidental,15-24,17,All,AUS,3172488,0.5358570308224965,0.31215642410365396,0.8579590170330992,5.358570308224965,3.1215642410365394,8.579590170330992
1997,All opioids with benzodiazepines,NA,Intentional,15-24,7,All,AUS,2619372,0.26723962843002064,0.10744398021446665,0.5506157770116091,2.6723962843002065,1.0744398021446664,5.506157770116092
1998,All opioids with benzodiazepines,NA,Intentional,15-24,3,All,AUS,2592341,0.11572551604900745,0.023865348651247432,0.3381992025153227,1.1572551604900745,0.2386534865124743,3.381992025153227
