nature,intent,drug,sex,state,age_group,n,year,pop
Underlying,Accidental,Amphetamines,All,AUS,15-24,3,1997,2619372
Underlying,Accidental,Amphetamines,All,AUS,25-34,3,1997,2863015
Underlying,Accidental,Amphetamines,All,AUS,35-44,0,1997,2845815
Underlying,Accidental,Amphetamines,All,AUS,45-54,0,1997,2376709
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,1997,1572718
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,1997,1293537
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,1997,731247
Underlying,Accidental,Amphetamines,All,AUS,15-54,1,1997,10704911
Underlying,Accidental,Amphetamines,All,AUS,15-64,4,1997,12277629
Underlying,Accidental,Amphetamines,All,AUS,Allages,4,1997,18423037
Underlying,Accidental,Amphetamines,All,AUS,15-24,1,1998,2592341
Underlying,Accidental,Amphetamines,All,AUS,25-34,4,1998,2860327
Underlying,Accidental,Amphetamines,All,AUS,35-44,1,1998,2881490
Underlying,Accidental,Amphetamines,All,AUS,45-54,0,1998,2460560
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,1998,1617841
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,1998,1296598
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,1998,758134
Underlying,Accidental,Amphetamines,All,AUS,15-54,5,1998,10794718
Underlying,Accidental,Amphetamines,All,AUS,15-64,5,1998,12412559
Underlying,Accidental,Amphetamines,All,AUS,Allages,5,1998,18607584
Underlying,Accidental,Amphetamines,All,AUS,15-24,3,1999,2583566
Underlying,Accidental,Amphetamines,All,AUS,25-34,7,1999,2857016
Underlying,Accidental,Amphetamines,All,AUS,35-44,2,1999,2913704
Underlying,Accidental,Amphetamines,All,AUS,45-54,0,1999,2525485
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,1999,1680815
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,1999,1300015
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,1999,784073
Underlying,Accidental,Amphetamines,All,AUS,15-54,14,1999,10879771
Underlying,Accidental,Amphetamines,All,AUS,15-64,14,1999,12560586
Underlying,Accidental,Amphetamines,All,AUS,Allages,14,1999,18812264
Underlying,Accidental,Amphetamines,All,AUS,15-24,5,2e3,2595640
Underlying,Accidental,Amphetamines,All,AUS,25-34,5,2e3,2855634
Underlying,Accidental,Amphetamines,All,AUS,35-44,2,2e3,2936641
Underlying,Accidental,Amphetamines,All,AUS,45-54,2,2e3,2583189
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,2e3,1750096
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2e3,1302006
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2e3,811132
Underlying,Accidental,Amphetamines,All,AUS,15-54,15,2e3,10971104
