nature,intent,drug,sex,state,age_group,n,year,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
Underlying,Accidental,Amphetamines,All,AUS,15-24,3,1997,2619372,0.11453126932715169,0.02361906662662784,0.33470910540685866,1.1453126932715167,0.2361906662662784,3.3470910540685868
Underlying,Accidental,Amphetamines,All,AUS,25-34,3,1997,2863015,0.10478464136583286,0.0216090805629462,0.3062253110262343,1.0478464136583285,0.21609080562946198,3.062253110262343
Underlying,Accidental,Amphetamines,All,AUS,35-44,0,1997,2845815,0,0,0.12962472263209843,0,0,1.2962472263209843
Underlying,Accidental,Amphetamines,All,AUS,45-54,0,1997,2376709,0,0,0.15520956921409612,0,0,1.5520956921409612
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,1997,1572718,0,0,0.23455443381284194,0,0,2.3455443381284193
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,1997,1293537,0,0,0.2851777568305083,0,0,2.8517775683050828
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,1997,731247,0,0,0.5044642645197384,0,0,5.044642645197383
Underlying,Accidental,Amphetamines,All,AUS,15-54,1,1997,10704911,0.009341506902766403,2.362426627851426e-4,0.05204754423023285,0.09341506902766403,0.002362426627851426,0.5204754423023285
Underlying,Accidental,Amphetamines,All,AUS,15-64,4,1997,12277629,0.03257958030821749,0.008877032792105825,0.08341666579778087,0.32579580308217493,0.08877032792105825,0.8341666579778086
Underlying,Accidental,Amphetamines,All,AUS,Allages,4,1997,18423037,0.021711946841337832,0.005915903835090243,0.05559120763216957,0.2171194684133783,0.05915903835090243,0.5559120763216957
Underlying,Accidental,Amphetamines,All,AUS,15-24,1,1998,2592341,0.03857517201633581,9.75549389342669e-4,0.21492709823021208,0.3857517201633581,0.00975549389342669,2.149270982302121
Underlying,Accidental,Amphetamines,All,AUS,25-34,4,1998,2860327,0.13984415068626768,0.03810365571569595,0.35805657013416387,1.3984415068626768,0.3810365571569595,3.5805657013416385
Underlying,Accidental,Amphetamines,All,AUS,35-44,1,1998,2881490,0.03470426758378478,8.776558931379126e-4,0.193359799531911,0.3470426758378478,0.008776558931379125,1.9335979953191098
Underlying,Accidental,Amphetamines,All,AUS,45-54,0,1998,2460560,0,0,0.14992033522339024,0,0,1.4992033522339023
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,1998,1617841,0,0,0.22801250557827693,0,0,2.2801250557827695
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,1998,1296598,0,0,0.28450451106454366,0,0,2.8450451106454366
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,1998,758134,0,0,0.4865735873041773,0,0,4.865735873041773
Underlying,Accidental,Amphetamines,All,AUS,15-54,5,1998,10794718,0.04631894969372984,0.015039630151508238,0.10809288366868322,0.46318949693729844,0.15039630151508238,1.0809288366868322
Underlying,Accidental,Amphetamines,All,AUS,15-64,5,1998,12412559,0.040281782346412214,0.01307937922468918,0.09400416118950498,0.40281782346412215,0.1307937922468918,0.9400416118950499
Underlying,Accidental,Amphetamines,All,AUS,Allages,5,1998,18607584,0.02687076409274842,0.00872486005221466,0.06270734540337106,0.26870764092748417,0.08724860052214661,0.6270734540337106
Underlying,Accidental,Amphetamines,All,AUS,15-24,3,1999,2583566,0.11611857409487507,0.023946406551225485,0.33934788538313876,1.1611857409487507,0.23946406551225485,3.393478853831388
Underlying,Accidental,Amphetamines,All,AUS,25-34,7,1999,2857016,0.24501087848300462,0.09850688737561425,0.504816056004745,2.4501087848300465,0.9850688737561425,5.0481605600474495
Underlying,Accidental,Amphetamines,All,AUS,35-44,2,1999,2913704,0.06864115229275176,0.008312568442756636,0.24795562622900172,0.6864115229275176,0.08312568442756636,2.4795562622900174
Underlying,Accidental,Amphetamines,All,AUS,45-54,0,1999,2525485,0,0,0.14606619324100723,0,0,1.4606619324100723
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,1999,1680815,0,0,0.2194697096570801,0,0,2.194697096570801
