year,sex,age,location,n
1971,male,0,NSW,47114
1972,male,0,NSW,48888
1973,male,0,NSW,46020
1974,male,0,NSW,43703
1975,male,0,NSW,42493
1976,male,0,NSW,39482
1977,male,0,NSW,39610
1978,male,0,NSW,39459
1979,male,0,NSW,39294
1980,male,0,NSW,40262
1981,male,0,NSW,41334
1982,male,0,NSW,42039
1983,male,0,NSW,42737
1984,male,0,NSW,41791
1985,male,0,NSW,42576
1986,male,0,NSW,42131
1987,male,0,NSW,42645
1988,male,0,NSW,43822
1989,male,0,NSW,44178
1990,male,0,NSW,44942
1991,male,0,NSW,45341
1992,male,0,NSW,45682
1993,male,0,NSW,45507
1994,male,0,NSW,44949
1995,male,0,NSW,44663
1996,male,0,NSW,44513
1997,male,0,NSW,44829
1998,male,0,NSW,43717
1999,male,0,NSW,44131
2e3,male,0,NSW,44538
2001,male,0,NSW,44822
2002,male,0,NSW,43476
2003,male,0,NSW,43951
2004,male,0,NSW,43984
2005,male,0,NSW,44703
2006,male,0,NSW,45779
2007,male,0,NSW,48734
2008,male,0,NSW,48910
2009,male,0,NSW,49718
2010,male,0,NSW,50137
2011,male,0,NSW,48744
2012,male,0,NSW,50745
2013,male,0,NSW,51093
2014,male,0,NSW,49519
2015,male,0,NSW,50412
2016,male,0,NSW,51797
2017,male,0,NSW,46936
1971,male,1,NSW,43834
1972,male,1,NSW,47125
1973,male,1,NSW,48479
1974,male,1,NSW,45815
1975,male,1,NSW,43971
1976,male,1,NSW,41974
1977,male,1,NSW,39566
1978,male,1,NSW,39788
1979,male,1,NSW,39540
1980,male,1,NSW,39436
1981,male,1,NSW,40344
1982,male,1,NSW,41459
1983,male,1,NSW,41882
1984,male,1,NSW,42627
1985,male,1,NSW,41773
1986,male,1,NSW,42633
1987,male,1,NSW,42514
1988,male,1,NSW,42965
1989,male,1,NSW,43787
1990,male,1,NSW,44032
1991,male,1,NSW,44944
1992,male,1,NSW,45436
1993,male,1,NSW,45343
1994,male,1,NSW,45323
1995,male,1,NSW,44960
1996,male,1,NSW,44668
1997,male,1,NSW,44625
1998,male,1,NSW,44859
1999,male,1,NSW,43859
2e3,male,1,NSW,44339
2001,male,1,NSW,44720
2002,male,1,NSW,44682
2003,male,1,NSW,43430
2004,male,1,NSW,43770
2005,male,1,NSW,43860
2006,male,1,NSW,44609
2007,male,1,NSW,45802
2008,male,1,NSW,48405
2009,male,1,NSW,48591
2010,male,1,NSW,49106
2011,male,1,NSW,49282
2012,male,1,NSW,49036
2013,male,1,NSW,50862
2014,male,1,NSW,51363
2015,male,1,NSW,50070
2016,male,1,NSW,50724
2017,male,1,NSW,52087
1971,male,2,NSW,44145
1972,male,2,NSW,43973
1973,male,2,NSW,47196
1974,male,2,NSW,48451
1975,male,2,NSW,45674
1976,male,2,NSW,44403
1977,male,2,NSW,42065
1978,male,2,NSW,39867
1979,male,2,NSW,40052
1980,male,2,NSW,39698
1981,male,2,NSW,39650
1982,male,2,NSW,40570
1983,male,2,NSW,41455
1984,male,2,NSW,41950
1985,male,2,NSW,42671
1986,male,2,NSW,42080
1987,male,2,NSW,42867
1988,male,2,NSW,43022
1989,male,2,NSW,43102
1990,male,2,NSW,43574
1991,male,2,NSW,43950
1992,male,2,NSW,45122
1993,male,2,NSW,45320
1994,male,2,NSW,45096
1995,male,2,NSW,45228
1996,male,2,NSW,44958
1997,male,2,NSW,44967
1998,male,2,NSW,44734
1999,male,2,NSW,44924
2e3,male,2,NSW,43958
2001,male,2,NSW,44589
2002,male,2,NSW,44684
2003,male,2,NSW,44584
2004,male,2,NSW,43325
2005,male,2,NSW,43791
2006,male,2,NSW,43841
2007,male,2,NSW,44922
2008,male,2,NSW,46307
2009,male,2,NSW,48207
2010,male,2,NSW,48489
2011,male,2,NSW,48703
2012,male,2,NSW,49735
2013,male,2,NSW,49649
2014,male,2,NSW,51314
2015,male,2,NSW,51772
2016,male,2,NSW,50757
2017,male,2,NSW,51075
1971,male,3,NSW,42293
1972,male,3,NSW,44101
1973,male,3,NSW,43974
1974,male,3,NSW,47471
1975,male,3,NSW,48349
1976,male,3,NSW,45575
1977,male,3,NSW,44319
1978,male,3,NSW,42277
1979,male,3,NSW,40291
1980,male,3,NSW,40295
1981,male,3,NSW,39938
1982,male,3,NSW,40003
1983,male,3,NSW,40630
1984,male,3,NSW,41541
1985,male,3,NSW,42044
1986,male,3,NSW,42843
1987,male,3,NSW,42457
1988,male,3,NSW,43321
1989,male,3,NSW,43261
1990,male,3,NSW,43110
1991,male,3,NSW,43495
1992,male,3,NSW,44099
1993,male,3,NSW,45094
1994,male,3,NSW,45323
1995,male,3,NSW,45024
1996,male,3,NSW,45197
1997,male,3,NSW,45220
1998,male,3,NSW,45245
1999,male,3,NSW,44891
2e3,male,3,NSW,45007
2001,male,3,NSW,44207
2002,male,3,NSW,44451
2003,male,3,NSW,44613
2004,male,3,NSW,44515
2005,male,3,NSW,43419
2006,male,3,NSW,43865
2007,male,3,NSW,44106
2008,male,3,NSW,45357
2009,male,3,NSW,46860
2010,male,3,NSW,48099
2011,male,3,NSW,48361
2012,male,3,NSW,49077
2013,male,3,NSW,50084
2014,male,3,NSW,50308
2015,male,3,NSW,51720
2016,male,3,NSW,52119
2017,male,3,NSW,51143
1971,male,4,NSW,42644
1972,male,4,NSW,42291
1973,male,4,NSW,43917
1974,male,4,NSW,44116
1975,male,4,NSW,47675
1976,male,4,NSW,48219
1977,male,4,NSW,45612
1978,male,4,NSW,44313
1979,male,4,NSW,42537
1980,male,4,NSW,40664
1981,male,4,NSW,40601
1982,male,4,NSW,40176
1983,male,4,NSW,40015
1984,male,4,NSW,40703
1985,male,4,NSW,41748
1986,male,4,NSW,42291
1987,male,4,NSW,43023
1988,male,4,NSW,42924
1989,male,4,NSW,43547
1990,male,4,NSW,43441
1991,male,4,NSW,43227
1992,male,4,NSW,43729
1993,male,4,NSW,44051
1994,male,4,NSW,45243
1995,male,4,NSW,45490
1996,male,4,NSW,45006
1997,male,4,NSW,45340
1998,male,4,NSW,45466
1999,male,4,NSW,45448
2e3,male,4,NSW,45054
2001,male,4,NSW,45173
2002,male,4,NSW,44242
2003,male,4,NSW,44469
2004,male,4,NSW,44734
2005,male,4,NSW,44503
2006,male,4,NSW,43506
2007,male,4,NSW,44100
2008,male,4,NSW,44515
2009,male,4,NSW,45848
2010,male,4,NSW,47445
2011,male,4,NSW,47946
2012,male,4,NSW,48857
2013,male,4,NSW,49479
2014,male,4,NSW,50632
2015,male,4,NSW,50950
2016,male,4,NSW,51960
2017,male,4,NSW,52599
1971,male,5,NSW,42578
1972,male,5,NSW,42684
1973,male,5,NSW,42153
1974,male,5,NSW,43820
1975,male,5,NSW,44152
1976,male,5,NSW,47739
1977,male,5,NSW,48294
1978,male,5,NSW,45742
1979,male,5,NSW,44445
1980,male,5,NSW,42745
1981,male,5,NSW,41099
1982,male,5,NSW,40757
1983,male,5,NSW,40223
1984,male,5,NSW,40014
1985,male,5,NSW,40913
1986,male,5,NSW,42074
1987,male,5,NSW,42527
1988,male,5,NSW,43399
1989,male,5,NSW,43111
1990,male,5,NSW,43640
1991,male,5,NSW,43757
1992,male,5,NSW,43422
1993,male,5,NSW,43706
1994,male,5,NSW,44019
1995,male,5,NSW,45412
1996,male,5,NSW,45631
1997,male,5,NSW,45422
1998,male,5,NSW,45601
1999,male,5,NSW,45702
2e3,male,5,NSW,45716
2001,male,5,NSW,45367
2002,male,5,NSW,45220
2003,male,5,NSW,44248
2004,male,5,NSW,44481
2005,male,5,NSW,44842
2006,male,5,NSW,44571
2007,male,5,NSW,43799
2008,male,5,NSW,44490
2009,male,5,NSW,44961
2010,male,5,NSW,46284
2011,male,5,NSW,47895
2012,male,5,NSW,48489
2013,male,5,NSW,49362
2014,male,5,NSW,50059
2015,male,5,NSW,51187
2016,male,5,NSW,51548
2017,male,5,NSW,52499
1971,male,6,NSW,42236
1972,male,6,NSW,42592
1973,male,6,NSW,42564
1974,male,6,NSW,42079
1975,male,6,NSW,43644
1976,male,6,NSW,44144
1977,male,6,NSW,47913
1978,male,6,NSW,48484
1979,male,6,NSW,45879
